run_id,seed,thrust_scale,drag_scale,true_apogee_ft,kf_apogee_ft,apogee_err_ft,true_apogee_t,deploy_t,timing_err_s,false_transition,crashed
1,100,1.0273956048555963,0.9975551375900821,558.9198711904323,558.9678145734575,0.04794338302519918,6.819000000000612,6.669999999999902,-0.14900000000070968,False,False
2,101,1.0358597919911383,1.0078947211623746,566.3970046349449,566.6199754068234,0.2229707718785221,6.849000000000622,6.699999999999902,-0.14900000000072033,False,False
3,102,0.9594177347887649,1.0190248940654703,488.37977757136855,488.1814089775699,-0.1983685937986479,6.489000000000502,6.3299999999999095,-0.15900000000059222,False,False
4,103,1.0261139701990354,1.0114425722110783,556.1212138694187,555.969287803404,-0.15192606601476655,6.802000000000606,6.629999999999903,-0.17200000000070315,False,False
5,104,0.9628113632675546,0.9980154375158227,493.54083360112793,493.2829982795872,-0.25783532154071054,6.518000000000511,6.349999999999909,-0.16800000000060233,False,False
6,105,0.9870798024232581,1.017070599553944,516.1986952727545,516.100778811469,-0.09791646128553566,6.6200000000005454,6.459999999999907,-0.16000000000063874,False,False
7,106,1.0143865120080664,1.012910464530833,544.100880988021,544.6071661056089,0.5062851175879359,6.748000000000588,6.599999999999904,-0.14800000000068447,False,False
8,107,0.9943414198827332,0.9890895488713911,526.1743098227707,525.9088318770762,-0.2654779456945562,6.673000000000563,6.499999999999906,-0.1730000000006573,False,False
9,108,1.0054584787015834,0.982552690244167,538.1304115002337,537.9479386298772,-0.1824728703564915,6.730000000000582,6.569999999999904,-0.16000000000067782,False,False
10,109,1.0327631171992582,1.0052665759648827,563.5399324805365,563.4022418204088,-0.13769066012775966,6.837000000000618,6.679999999999902,-0.1570000000007159,False,False
11,110,1.0258087740085373,0.9941810387251947,557.6678767824304,557.3902455529409,-0.27763122948954333,6.81400000000061,6.649999999999903,-0.16400000000070758,False,False
12,111,1.0470698024394904,1.015724844852888,576.897144627643,576.7028306247581,-0.1943140028848802,6.892000000000636,6.719999999999901,-0.17200000000073512,False,False
13,112,1.0278383497073762,0.9877855483140787,560.4348629287439,559.9348046451811,-0.5000582835627938,6.828000000000615,6.649999999999903,-0.17800000000071226,False,False
14,113,0.9966721003727034,0.9817521506314891,529.2571575088494,528.9718567398888,-0.2853007689606102,6.6890000000005685,6.529999999999905,-0.15900000000066328,False,False
15,114,0.9654289492067548,1.0073219581296982,495.3689579995736,495.24659142274817,-0.12236657682541363,6.525000000000514,6.369999999999909,-0.1550000000006051,False,False
16,115,1.0244762155907816,1.0187003892973685,553.6907768683125,553.692154038875,0.0013771705624776587,6.790000000000602,6.629999999999903,-0.16000000000069914,False,False
17,116,0.9825825358138152,0.9948183882413948,513.7288188098725,513.4460620488796,-0.282756760992811,6.6140000000005434,6.439999999999907,-0.1740000000006363,False,False
18,117,0.9969555811275808,0.9875788543633715,528.9756223368781,528.7641165147594,-0.21150582211873825,6.6860000000005675,6.509999999999906,-0.17600000000066185,False,False
19,118,0.9629921505335471,0.9990281970490373,493.6358961347442,493.6831220129176,0.04722587817337853,6.518000000000511,6.359999999999909,-0.15800000000060255,False,False
20,119,0.9726909349050884,1.0067925597873004,502.69253314144987,502.65748341399757,-0.035049727452303614,6.559000000000525,6.399999999999908,-0.1590000000006171,False,False
